"","Time_Step","B_CL2_VAL_prob","B_TURB_VAL_prob","B_PH_VAL_prob","B_TOC_VAL_prob","B_COND_VAL_prob","B_TEMP_VAL_prob","B_PRES_OP_prob","B_PLNT_PRES_OP_prob","B_PLNT_PH_VAL_prob","B_PLNT_TURB_VAL_prob","B_PLNT_FLOW_OP_prob","B_PLNT_CL2_VAL_prob","Event_Column"
"4195","04/20/2006 06:00:00",0.0010603600003759,4.44395508311102e-05,0.00186724115582448,0,0,0,1,8.55981951985996e-14,1,0.00230245056794842,0,1,1
"4196","04/20/2006 06:20:00",0.00288235732064657,4.2624288346671e-05,0.00133793675254024,0,0,0,9.54046484813453e-07,8.55981951985996e-14,1,0.00263085096157445,0,1,1
"4197","04/20/2006 06:40:00",0.00783505952783936,4.83052906854464e-05,0.00133793675254024,0,0,0,0,0,1,0.00272002395355431,0,1,1
"4198","04/20/2006 07:00:00",0.0109347064283419,6.46818357306067e-05,0.000958673574762425,0,0,0,0,0,1,0.00254460140800339,0,1,1
"4199","04/20/2006 07:20:00",0.00402265369023214,6.203971834573e-05,0.000958673574762425,0,0,0,0,0,1,0.00182328658176456,0,1,1
"4200","04/20/2006 07:40:00",0.000390084644378841,6.74364743271649e-05,0.000958673574762425,0,0,0,0,0,1,0.00126361166322142,0,1,1
"4201","04/20/2006 08:00:00",0.000279507861471462,7.64244664611669e-05,0.00133793675254024,0,0,0,0,0,1,0.000905417321104385,0,1,1
"4202","04/20/2006 08:20:00",0.000143504120983629,0.000120912202183021,0.00186724115582448,0,0,0,0,0,1,0.000792397082029828,0,1,1
"4203","04/20/2006 08:40:00",0.000143504120983629,0.0001370274859811,0.00260594495770072,0,0,0,0,0,1,0.000766419215714298,0,1,1
"4204","04/20/2006 09:00:00",0.000102825195881118,0.00013143020045514,0.00363688916205751,0,0,0,0,0,1,0.000693484784279996,0,1,1
"4205","04/20/2006 09:20:00",7.36774723647526e-05,0.000126061552308321,0.00507568770322853,0,0,0,0,0,1,0.00130644192398344,0,1,1
"4206","04/20/2006 09:40:00",5.27922158332084e-05,0.000126061552308321,0.00507568770322853,0,0,0,0,0,1,0.0962845002780779,0,1,1
"4207","04/20/2006 10:00:00",7.36774723647526e-05,0.00013143020045514,0.00363688916205751,0,0,0,0,0,1,0.000496903561343132,0,1,1
"4208","04/20/2006 10:20:00",0.000102825195881118,0.000120912202183021,0.00363688916205751,0,0,0,9.54046484813453e-07,0,1,0.000464856752523612,0,1,1
"4209","04/20/2006 10:40:00",0.000143504120983629,0.00013143020045514,0.00363688916205751,0,0,0,9.54046484813453e-07,0,1,0.000393492745703217,0,1,1
"4210","04/20/2006 11:00:00",0.000200276134295851,0.000161904070722918,0.00507568770322853,0,0,0,9.54046484813453e-07,0,1,0.00031160279975162,0,1,1
